"zip","type","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","latitude","longitude","world_region","country","decommissioned","estimated_population","notes"
"05474","STANDARD","North Hero",,"Abnaki, Birdland, Knights Point, Lagrange, No Hero","VT","Grand Isle County","America/New_York","802","44.82","-73.28","NA","US","0","757",
"05476","STANDARD","Richford",,,"VT","Franklin County","America/New_York","802","44.99","-72.67","NA","US","0","2173",
"05477","STANDARD","Richmond","Bolton Valley",,"VT","Chittenden County","America/New_York","802","44.4","-73","NA","US","0","4027",
"05478","STANDARD","Saint Albans",,"Georgia, St Albans","VT","Franklin County","America/New_York","802","44.81","-73.08","NA","US","0","12191",
"05479","UNIQUE","Saint Albans",,"Eastern Reg Serv Ctr","VT","Franklin County","America/New_York","802","44.81","-73.08","NA","US","0","0",
"05481","PO BOX","Saint Albans Bay","St Albans Bay","St Albans","VT","Franklin County","America/New_York","802","44.82","-73.12","NA","US","0","419",
"05482","STANDARD","Shelburne",,,"VT","Chittenden County","America/New_York","802","44.38","-73.23","NA","US","0","6810",
"05483","STANDARD","Sheldon",,"Crow Hill, Fairfield Pond, Fairground, Fairgrounds, Saint Rocks, Sheldon Creek, Sheldon Junction, St Rocks, Sweek Hollow","VT","Franklin County","America/New_York","802","44.88","-72.95","NA","US","0","1194",
"05485","PO BOX","Sheldon Springs","Sheldon Spgs",,"VT","Franklin County","America/New_York","802","44.89","-72.98","NA","US","0","0",
"05486","STANDARD","South Hero",,"Keeler Bay, Keelers Bay, S Hero, So Hero","VT","Grand Isle County","America/New_York","802","44.64","-73.31","NA","US","0","1619",
"05487","STANDARD","Starksboro",,"Buels Gore, South Starksboro","VT","Addison County","America/New_York","802","44.22","-72.99","NA","US","0","1323",
"05488","STANDARD","Swanton",,"Fonda, Fonda Jct, Green Corner, Hog Island, Lakewood, Maquam, Popsquash, W Swanton, West Swanton","VT","Franklin County","America/New_York","802","44.92","-73.12","NA","US","0","6347",
"05489","STANDARD","Underhill",,"Underhill Flats","VT","Chittenden County","America/New_York","802","44.53","-72.97","NA","US","0","2816",
"05490","PO BOX","Underhill Center","Underhill Ctr",,"VT","Chittenden County","America/New_York","802","44.52","-72.89","NA","US","0","0",
"05491","STANDARD","Vergennes","Addison, Panton","Arnold Bay, Basin Harbor, Button Bay, Chimney Point, Crown Point, Mile Point, Owls Head Harbor, Potash Bay, Potash Point, Summer Point, Waltham, West Addison, West Ferrisburgh","VT","Addison County","America/New_York","802","44.16","-73.25","NA","US","0","5045",
"05492","STANDARD","Waterville",,"Belvidere Center, Belvidere Junction","VT","Lamoille County","America/New_York","802","44.71","-72.75","NA","US","0","688",
"05494","STANDARD","Westford",,"Brookside","VT","Chittenden County","America/New_York","802","44.62","-73.02","NA","US","0","1555",
"05495","STANDARD","Williston","Saint George, St George",,"VT","Chittenden County","America/New_York","802","44.43","-73.07","NA","US","0","9087",
"05601","PO BOX","Montpelier",,,"VT","Washington County","America/New_York","802","44.26","-72.57","NA","US","0","721",
"05602","STANDARD","Montpelier","Berlin, Middlesex, Middlesex Center, Middlesex Ctr","East Montpelier Center, Gould Hill, Jones Brook, Montpelier Jct, Montpelier Junction","VT","Washington County","America/New_York","802","44.26","-72.57","NA","US","0","10117",
"05603","UNIQUE","Montpelier",,"Dept Motor Vehicles","VT","Washington County","America/New_York","802","44.26","-72.57","NA","US","0","0",
"05604","UNIQUE","Montpelier",,"National Life Ins","VT","Washington County","America/New_York","802","44.26","-72.57","NA","US","0","0",
"05609","UNIQUE","Montpelier",,"State Of Vermont","VT","Washington County","America/New_York","802","44.26","-72.57","NA","US","0","0",
"05620","UNIQUE","Montpelier",,"State Of Vermont","VT","Washington County","America/New_York","802","44.26","-72.57","NA","US","0","0",
"05633","UNIQUE","Montpelier",,"State Of Vermont","VT","Washington County","America/New_York","802","44.26","-72.57","NA","US","0","0",
"05640","STANDARD","Adamant",,"Bliss Pond, East Calais","VT","Washington County","America/New_York","802","44.35","-72.5","NA","US","0","0",
"05641","STANDARD","Barre","Orange","Barre Jct, Barre Junction, Berlin, Boutswells, East Hill, Lower Websterville, Trow Hill","VT","Washington County","America/New_York","802","44.2","-72.5","NA","US","0","13551",
"05647","STANDARD","Cabot",,"East Cabot","VT","Washington County","America/New_York","802","44.4","-72.31","NA","US","0","853",
"05648","STANDARD","Calais",,,"VT","Washington County","America/New_York","802","44.38","-72.43","NA","US","0","451",
"05649","STANDARD","East Barre",,,"VT","Washington County","America/New_York","802","44.15","-72.44","NA","US","0","959",
"05650","STANDARD","East Calais",,"North Calais, South Woodbury","VT","Washington County","America/New_York","802","44.35","-72.44","NA","US","0","906",
"05651","STANDARD","East Montpelier","E Montpelier",,"VT","Washington County","America/New_York","802","44.28","-72.49","NA","US","0","1465",
"05652","STANDARD","Eden",,,"VT","Lamoille County","America/New_York","802","44.7","-72.55","NA","US","0","651",
"05653","STANDARD","Eden Mills","Eden",,"VT","Lamoille County","America/New_York","802","44.69","-72.48","NA","US","0","0",
"05654","STANDARD","Graniteville",,,"VT","Washington County","America/New_York","802","44.15","-72.47","NA","US","0","1050",
"05655","STANDARD","Hyde Park",,,"VT","Lamoille County","America/New_York","802","44.59","-72.61","NA","US","0","2465",
"05656","STANDARD","Johnson",,"East Johnson","VT","Lamoille County","America/New_York","802","44.63","-72.67","NA","US","0","2331",
"05657","PO BOX","Lake Elmore",,"Lk Elmore","VT","Lamoille County","America/New_York","802","44.54","-72.52","NA","US","0","0",
"05658","STANDARD","Marshfield",,"Lower Cabot","VT","Washington County","America/New_York","802","44.35","-72.35","NA","US","0","1228",
"05660","STANDARD","Moretown","South Duxbury","N Fayston, No Fayston, North Fayston","VT","Washington County","America/New_York","802","44.25","-72.75","NA","US","0","1642",
"05661","STANDARD","Morrisville","Elmore, Morristown","Cadys Falls, Cleveland Corner, Garfield, Lake Lamoille, Morrisvl, Morrisvle, Mud City","VT","Lamoille County","America/New_York","802","44.55","-72.59","NA","US","0","5006",
"05662","PO BOX","Moscow",,,"VT","Lamoille County","America/New_York","802","44.44","-72.71","NA","US","0","0",
"05663","STANDARD","Northfield","Riverton, West Berlin","Norwich University","VT","Washington County","America/New_York","802","44.15","-72.65","NA","US","0","3880",
"05664","PO BOX","Northfield Falls","Northfield Fl, Northfld Fls",,"VT","Washington County","America/New_York","802","44.16","-72.67","NA","US","0","585",
"05665","PO BOX","North Hyde Park","N Hyde Park",,"VT","Lamoille County","America/New_York","802","44.66","-72.57","NA","US","0","0",
"05666","STANDARD","North Montpelier","N Montpelier","No Montpelier","VT","Washington County","America/New_York","802","44.25","-72.48","NA","US","0","0",
"05667","STANDARD","Plainfield",,"Pekin","VT","Washington County","America/New_York","802","44.28","-72.43","NA","US","0","1957",
"05669","STANDARD","Roxbury","W Braintree, West Braintree","E Granville, East Granville, Roxbury Flat","VT","Washington County","America/New_York","802","44.1","-72.73","NA","US","0","462",
"05670","PO BOX","South Barre",,,"VT","Washington County","America/New_York","802","44.16","-72.5","NA","US","0","637",
"05671","UNIQUE","Waterbury",,"State Of Vermont","VT","Washington County","America/New_York","802","44.33","-72.75","NA","US","0","0",
"05672","STANDARD","Stowe",,,"VT","Lamoille County","America/New_York","802","44.46","-72.68","NA","US","0","4344",
"05673","STANDARD","Waitsfield",,"Fayston, Irasville, Mad River Glen, Waitsfield Common","VT","Washington County","America/New_York","802","44.18","-72.82","NA","US","0","2719",
"05674","STANDARD","Warren","Sugarbush Valley, Sugarbush Vly","East Warren","VT","Washington County","America/New_York","802","44.12","-72.85","NA","US","0","1263",
"05675","STANDARD","Washington",,"Sky Acres, South Washington, Washgtin, Washing, Washingtn","VT","Orange County","America/New_York","802","44.1","-72.43","NA","US","0","817",
"05676","STANDARD","Waterbury",,"Bolton, Colbyville, Duxbury, North Duxbury","VT","Washington County","America/New_York","802","44.33","-72.75","NA","US","0","4322",
"05677","STANDARD","Waterbury Center","Waterbury Ctr",,"VT","Washington County","America/New_York","802","44.38","-72.7","NA","US","0","1994",
"05678","PO BOX","Websterville",,,"VT","Washington County","America/New_York","802","44.13","-72.45","NA","US","0","0",
"05679","STANDARD","Williamstown",,,"VT","Orange County","America/New_York","802","44.12","-72.53","NA","US","0","2786",
"05680","STANDARD","Wolcott",,"Branch, East Elmore, North Wolcott, Pottersville","VT","Lamoille County","America/New_York","802","44.55","-72.47","NA","US","0","1662",
"05681","STANDARD","Woodbury",,"Lake Valley","VT","Washington County","America/New_York","802","44.44","-72.4","NA","US","0","0",
"05682","STANDARD","Worcester","N Middlesex, North Middlesex",,"VT","Washington County","America/New_York","802","44.37","-72.55","NA","US","0","1110",
"05701","STANDARD","Rutland","Mendon, S Chittenden, South Chittenden","Clementwood, East Pittsford, Glen, Heartwell, Mill Village, Rutland Town","VT","Rutland County","America/New_York","802","43.6","-72.97","NA","US","0","16970",
"05702","PO BOX","Rutland",,,"VT","Rutland County","America/New_York","802","43.6","-72.97","NA","US","0","789",
"05730","STANDARD","Belmont",,,"VT","Rutland County","America/New_York","802","43.42","-72.81","NA","US","0","0",
"05731","PO BOX","Benson",,,"VT","Rutland County","America/New_York","802","43.72","-73.32","NA","US","0","0",
"05732","STANDARD","Bomoseen",,"Crystal Beach, Neshobe Beach","VT","Rutland County","America/New_York","802","43.63","-73.2","NA","US","0","1003",
"05733","STANDARD","Brandon","Goshen, Leicester, Sudbury",,"VT","Rutland County","America/New_York","802","43.8","-73.08","NA","US","0","4770",
